________________________________________________________________________________
   THE FRACTIONS OF SECONDARY STRUCTURES FROM
   THE CDsstr Program (variable selection method)
     Johnson W.C. Proteins:Struc.Func.Genet. 35, 307-312 (1999)
     Program Modified by Sreerama. N.(Anal.Biochem.,287,252,2000)
     For use with CDPro reference proteins

       BASIS SET OPTIONS AVAILABLE
      _________________________________________________________
      |                                                       |
      | IBasis Ref.Set  Proteins   Secondary Structre WaveLen |
      |    1   SP29   29-SOLUBLE     H1,H2,S1,S2,T,U  178-260 |
      |    2   SP22X  22-SOLUBLE     H,3-10,S,T,P2,U  178-260 |
      |    3   SP37   37-SOLUBLE     H1,H2,S1,S2,T,U  185-240 |
      |    4   SP43   43-SOLUBLE     H1,H2,S1,S2,T,U  190-240 |
      |    5   SP37A  37-SOLUBLE       H,S,P2,T,U     185-240 |
      |    6   SDP42  SP37,5 Denatrd  H1,H2,S1,S2,T,U 185-240 |
      |    7   SDP48  SP43,5 Denatrd  H1,H2,S1,S2,T,U 190-240 |
      |    8   CLSTR  Soluble/Denatr. H1,H2,S1,S2,T,U 190-240 |
      |    9   SMP50  SP37,13 Membran H1,H2,S1,S2,T,U 185-240 |
      |   10   SMP56  SP43,13 Membran H1,H2,S1,S2,T,U 190-240 |
      |_______________________________________________________|
    IPrint  IBasis  
         0       9

    Reference PROTEIN Set Selected: SMP50
                50 Proteins - 37 Soluble + 13 Membrane
    Structures: Helix1, Helix2, Strand1, Strand2, Turns and Unordered


    NUMBER of Segments Calculated

    SUMMARY in ProtSS.out
        Contains Sec. Str. Fractions, RMSD and NRMSD
        RMSD and Normalized-RMSD between Exp and Calc CD spectra
    NRMSD from the three programs generally vary in the order:
        CONTINLL < CDSSTR < SELCON3
    Use CAUTION in drawing CONCLUSIONS from RMSD/NRMSD
________________________________________________________________________________

 Triose Phosphate Isomerase (Test: 245-185 nm)    


 The wavelength range:   245.0  185.0, is different from that of
 the Database proteins:  240.0  185.0
 The No. of CD points =   61

 The wavelengths are modified to be within the valid range

 Beginning wavelength:  240.00; Ending wavelength:  185.00
 Total No of CD points  56
 Secondary structural elements=   6
 Multipilcation FACTOR for CD spectrum= 1.000



 SAMPLE CD: 

                               Triose Phosphate Isomerase (Test: 245-185 nm)    

   -.60   -.73   -.90  -1.11  -1.35  -1.61  -1.88  -2.18  -2.50  -2.84
  -3.20  -3.55  -3.88  -4.16  -4.40  -4.61  -4.80  -4.96  -5.08  -5.16
  -5.20  -5.22  -5.20  -5.12  -5.00  -4.85  -4.70  -4.58  -4.50  -4.46
  -4.40  -4.26  -4.00  -3.60  -3.00  -2.19  -1.20   -.10   1.10   2.40
   3.75   5.14   6.60   8.12   9.40  10.17  10.50  10.54  10.30   9.78
   9.10   8.37   7.60   6.80   5.97   5.13

  Proteins: 49;  CD data: 56;  Sec Str:  6
________________________________________________________________________________


 OUTPUT FROM CDsstr Program

 NbasCD= 49   Nwave= 56   Npro=  1   ncomb=400   icombf=100000 Nsstr=  6


  Basis Set Proteins
  MGLB    HBN     HMRT    T4LS    LDH     LYSM    THML    CYTC    PGK     ECOR
  FLVD    SUBB    GPD     PAPN    SUBN    RNAS    PPSN    BLAC    CHYT    AZU 
  ELAS    GCR     PRAL    CONA    BNJN    TNF     SUDS    BTOX    ColA    IFBP
  GFP     CGA     ADH     CANH    GRS     RHD     RC_V    PS_I    RC_S    AntC
  UCCR    CyCO    Rhod    BRho    CA2+    OMPF    P_Cp    LamB    PhoE

________________________________________________________________________________

 Helix from H and J SVD with all basis proteins is   .477


________________________________________________________________________________

  Valid Solutions (combinations):
 Number  SComb  H(r)  H(d)  S(r)  S(d)  Trn   Unrd
      79   229   .35   .17   .07   .05   .13   .19
      80   230   .33   .22   .13   .07   .19   .11
      81   233   .35   .17   .03   .06   .16   .23
      82   235   .37   .17   .09   .04   .14   .22
      83   236   .33   .18   .08   .06   .19   .21
      84   237   .35   .21   .11   .06   .13   .13
      85   243   .33   .18   .09   .07   .12   .25
      86   247   .37   .17   .08   .06   .14   .23
      87   248   .34   .16   .09   .03   .09   .25
      88   250   .32   .20   .10   .05   .18   .19
      89   253   .34   .17   .05   .05   .15   .22
      90   259   .37   .19   .02   .04   .14   .26
      91   260   .32   .20   .17   .06   .09   .13
      92   270   .37   .15   .05   .05   .15   .19
      93   272   .37   .16   .04   .04   .14   .21
      94   273   .36   .15   .07   .07   .19   .19
      95   274   .37   .16  -.02   .02   .19   .25
      96   286   .34   .19   .08   .04   .14   .21
      97   289   .37   .15   .10   .03   .11   .20
      98   302   .38   .16   .07   .05   .14   .22
      99   307   .38   .14   .09   .03   .15   .19
     100   309   .38   .15   .05   .05   .17   .19
     101   315   .34   .19   .05   .05   .15   .25
     102   324   .34   .16   .13   .06   .09   .21
     103   325   .37   .16   .00   .03   .17   .31
     104   326   .37   .18   .14   .03   .11   .19
     105   328   .38   .17   .10   .04   .11   .21
     106   331   .35   .17   .03   .05   .15   .22
     107   332   .36   .18   .08   .04   .09   .24
     108   333   .37   .18   .03   .05   .15   .26
     109   339   .35   .15   .07   .05   .16   .25
     110   342   .33   .18  -.02   .03   .21   .29
     111   344   .33   .17   .04   .05   .17   .23
     112   352   .37   .14   .10   .04   .11   .20
     113   358   .40   .15   .08   .03   .14   .22
     114   360   .37   .18   .09   .03   .12   .19
     115   362   .37   .19   .04   .03   .11   .21
     116   368   .35   .16   .05   .04   .17   .25
     117   369   .37   .16   .06   .07   .17   .18
     118   374   .35   .16   .05   .04   .15   .24
     119   381   .38   .17   .01   .04   .16   .21
     120   382   .34   .17   .10   .06   .12   .21
     121   386   .36   .18   .07   .03   .15   .20
     122   387   .36   .19   .06   .05   .13   .24
     123   390   .35   .17   .09   .04   .12   .20
     124   394   .37   .16   .09   .07   .12   .17

 Predicted:  H(r)= .36  H(d)= .17  S(r)= .07  S(d)= .04  Trn = .14  Unrd= .22

            isstr=400 icntf= 124

________________________________________________________________________________


     +--------------------------------------------------+
     |  Based on the SOLUTION the Number of SEGMENTS of |
     |   HELICES (Per 100 Residues) are:     4.212      |
     |   STRANDS (Per 100 Residues) are:     2.247      |
     +--------------------------------------------------+


  For YOUR PROTEIN multiply No. of SEGMENTS by
  (Number of Residues) / 100
  e.g., If Number of Residues = 153,  Use a FACTOR of 1.53

  Average Length of Segments Remains as Estimated

     +--------------------------------------------------+
     |  Based on the SOLUTION Obtained                  |
     |   The AVERAGE LENGTH of HELICES :    12.484      |
     |   The AVERAGE LENGTH of STRANDS :     5.094      |
     +--------------------------------------------------+

________________________________________________________________________________

          LEGEND: **** Calc. CD; oooo Expt. CD; .... Diff. CD
    11.+-------oo-------------------------------------------------+
       |     oo**oo                                               |
       |  oo      *                                               |
       | o*        o                                              |
       |o           o                                             |
       o             o                                            |
       |              *                                           |
       |              o                                           |
       |               o                                          |
       |                 o                                        |
       .....-...........-...........-...........-...........-......
       |                   o                        
